name,followers,followings,follow ratio,muters,reputation,effective sp,own sp,sp ratio,curation_rewards,posting_rewards,witnesses_voted_for,posts,average_post_len,comments,average_comment_len,comments_with_link_ratio,posts_to_comments_ratio,class
dini1,530,212,0.4,9,53.236213371062604,296.9501820759199,86.61393988249482,3.428434065911084,0.769,128.233,2,1,289,153,55,0E-14,0.006535947712418301,2
adyorka,309,444,1.4368932038834952,1,37.95341811129929,15.055658617242125,1.4059175157607193,10.70877803887076,0.01,1.368,18,70,410,748,77,0.00935828877005,0.09358288770053476,2
gurumetras,277,52,0.18772563176895307,0,45.98033632774922,15.016353712780912,7.884726535201243,1.9044863059917965,0.005,15.532,0,3,1439,262,96,0.46564885496183,0.011450381679389313,2
ankit14192,334,86,0.25748502994011974,1,41.79248375350909,15.000290947631685,3.0149756093567333,4.975261126849416,0.018,5.17,1,52,2470,507,143,0.59171597633136,0.10256410256410256,2
arieldemocer,128,12,0.09375,0,25.0,15.020182452843356,0.1001352515858016,149.99894857180448,0.0,0.0,0,4,5020,10,10,0E-14,0.4,2
vish22i,362,260,0.7182320441988951,1,35.77152221671855,15.077146253577528,0.9656130057711678,15.614067088436181,0.018,1.067,0,15,418,333,48,0.01501501501501,0.04504504504504504,2
majed1,196,19,0.09693877551020408,0,41.213345061506196,15.037602882953795,0.10025098030329821,149.99955948020855,0.001,5.933,1,25,543,102,17,0E-14,0.24509803921568626,2
hemantnayak,173,2,0.011560693641618497,0,25.0,15.037602882953795,0.10025090127049785,149.99967773236477,0.0,0.0,0,10,141,8,4,0E-14,1.25,2
changxiu,282,113,0.40070921985815605,1,47.14692247461909,16.396465474622453,15.392802802842,1.0652033735919195,0.004,13.69,7,58,1337,788,82,0.48730964467005,0.07360406091370558,2
dan321,1604,1657,1.0330423940149627,6,49.054014977651576,157.20005383279823,157.20005383279823,1.0,0.574,328.488,17,213,2089,290,28,0.03448275862068,0.7344827586206897,2
meepsy,554,569,1.0270758122743682,2,42.08047048450575,29.444586592160395,29.444586592160395,1.0,0.218,7.538,13,1,1168,26,8,0E-14,0.038461538461538464,2
rf-abol,287,364,1.2682926829268293,0,44.55636923039947,15.074258218709955,5.586864406900409,2.6981607429189696,0.026,10.891,1,15,2606,307,99,0.24755700325732,0.048859934853420196,2
aaliyahholt,1802,44,0.0244173140954495,7,53.01930381330555,25.009373369214487,25.009373369214487,1.0,1.877,143.78,0,142,683,589,105,0.00848896434634,0.24108658743633277,2
sscnp,182,18,0.0989010989010989,0,25.0,15.095429728783415,0.5255462308907344,28.72331460392851,0.0,0.038,0,6,1355,13,34,0E-14,0.46153846153846156,2
gautambnod,380,881,2.318421052631579,0,31.447704905839167,15.09813110793471,0.36995271439542476,40.810975350209326,0.012,0.339,0,26,1127,122,27,0E-14,0.21311475409836064,2
sirharoldsimbo,241,98,0.4066390041493776,1,39.92398589220805,14.011678636755137,1.764723406450913,7.939872382003725,0.006,3.304,0,30,921,50,76,0.16000000000000,0.6,2
poky1909,182,95,0.521978021978022,0,25.0,15.019220087721633,0.10084781575956234,148.92955265912656,0.0,0.0,0,11,197,12,12,0E-14,0.9166666666666666,2
zainifahkrizal,695,684,0.9841726618705036,5,53.31139717155707,32.69999866311278,32.69999866311278,1.0,0.236,104.805,1,81,1758,395,20,0.06329113924050,0.20506329113924052,2
prettypretty,257,34,0.13229571984435798,0,36.36054213539241,15.000752602916414,0.6628776120241693,22.6297469258465,0.02,1.091,0,61,1129,398,63,0.00502512562814,0.15326633165829145,2
quinneaker,5737,577,0.10057521352623322,29,71.39135254554414,35780.684469133594,35780.684469133594,1.0,849.152,17966.754,20,14,1488,295,50,0E-14,0.04745762711864407,2
jasmandeep,170,282,1.6588235294117648,1,25.0,15.06174665117437,0.12428806511038064,121.18417514825727,0.0,0.048,0,3,1025,8,6,0E-14,0.375,2
anamabubakar,292,75,0.2568493150684932,1,30.05464202084703,15.014444145968133,0.21049578614814654,71.32895351834262,0.008,0.2,1,28,669,122,38,0E-14,0.22950819672131148,2
novus-locus,248,470,1.8951612903225807,0,48.39091722291928,1063.4093445869564,1063.4093445869564,1.0,5.756,25.559,0,86,825,181,92,0.01657458563535,0.47513812154696133,2
raja143,210,39,0.18571428571428572,0,25.0,15.046571831886215,0.10031086888964609,149.9994167973885,0.005,0.0,0,16,134,28,13,0E-14,0.5714285714285714,2
abcallen,1188,363,0.3055555555555556,5,55.41508631630245,2064.464122422139,85.02808612830424,24.279790554228622,1.696,165.745,3,165,3124,3396,39,0.06478209658421,0.04858657243816254,0
rahul7734,305,227,0.7442622950819672,0,31.08026078384659,15.070026116968425,0.23161440154413881,65.06515146078482,0.007,0.362,0,9,358,477,28,0.01886792452830,0.018867924528301886,2
sshamem,206,91,0.441747572815534,0,18.037705177422147,15.039713473152009,0.10225497155432392,147.08051104549003,0.002,0.0,30,12,583,26,9,0E-14,0.46153846153846156,2
jasy90,184,12,0.06521739130434782,0,25.0,15.037053960144846,0.10024719957171037,149.99974088441553,0.0,0.0,0,11,4233,21,29,0E-14,0.5238095238095238,2
uwemjnr,415,309,0.744578313253012,0,36.58163847126257,15.014309342684264,1.3116362024585033,11.447007420610806,0.019,1.554,0,9,1119,166,35,0E-14,0.05421686746987952,2
wf9877,1379,5,0.0036258158085569255,10,68.73213052558012,13899.111852419872,13899.111852419872,1.0,52.771,6553.305,0,85,1870,848,64,0.01886792452830,0.10023584905660378,2
lagtv,511,334,0.6536203522504892,0,56.79474617666037,1082.7017118960905,1082.7017118960905,1.0,2.914,258.263,1,128,315,391,30,0.01278772378516,0.3273657289002558,2
sudipmukherjee1,249,60,0.24096385542168675,0,28.66791900339976,15.018732693429644,0.17149338318804652,87.576164247464,0.002,0.137,1,20,3544,123,102,0.05691056910569,0.16260162601626016,2
melbourneswest,833,325,0.39015606242497,1,53.530471371402356,201.45920998800213,201.45920998800213,1.0,0.251,109.674,1,235,1052,667,81,0.02098950524737,0.3523238380809595,2
abdullah786,208,26,0.125,0,25.0,15.047548820545778,0.10031729326840644,149.9995497315197,0.0,0.0,0,20,307,8,5,0E-14,2.5,2
sardaramir,313,154,0.49201277955271566,4,34.22997484911333,15.08359288599864,2.3449567327861427,6.432354454607434,0.016,3.621,0,61,1006,42,62,0.21428571428571,1.4523809523809523,2
youandme,244,87,0.35655737704918034,0,47.159629476457205,20.119101699253893,11.541448467782658,1.743204222192327,0.019,22.209,0,14,445,80,26,0.11250000000000,0.175,2
